"","authorID","groupID","match_name","matchID","similarity","confidence","flagged","AU","AF","author_order","address","RP_address","RI","OI","EM","refID","TA","SO","UT","PT","PU","PY","university","country","state","postal_code","city","department"
"1",1,1,NA,NA,NA,NA,0,"Azevedo, J","Azevedo, Josue",2,"Univ Gothenburg, Gothenburg Global Biodivers Ctr, Gothenburg, Sweden.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"univ gothenburg","sweden","gothenburg",NA,"gothenburg global biodivers ctr",NA
"2",2,2,NA,NA,NA,NA,0,"Caceres, D","Caceres, Daniel",6,"Univ Tecnol Panama, Panama City, Panama.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"univ tecnol panama","panama",NA,NA,"panama city",NA
"3",3,3,NA,NA,NA,NA,0,"da Costa, AF","da Costa, Andrea Ferreira",5,"Univ Fed Rio de Janeiro, Dept Bot, Museu Nacl, Rio De Janeiro, Brazil.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"univ fed rio de janeiro","brazil","rio de janeiro",NA,"museu nacl","dept bot"
"4",4,4,NA,NA,NA,NA,0,"Leme, E","Leme, Elton",3,"Herbarium Bradeanum, Rio De Janeiro, Brazil.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"herbarium bradeanum","brazil",NA,NA,"rio de janeiro",NA
"5",5,5,NA,NA,NA,NA,0,"Neves, B","Neves, Beatriz",4,"Univ Fed Rio de Janeiro, Dept Bot, Museu Nacl, Rio De Janeiro, Brazil.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"univ fed rio de janeiro","brazil","rio de janeiro",NA,"museu nacl","dept bot"
"6",6,6,NA,NA,NA,NA,0,"Zizka, A","Zizka, Alexander",1,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","german ctr integrat biodivers res idiv, deutsch pl 5e, d-04103 leipzig, germany.",NA,NA,"alexander.zizka@idiv.de",1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"german ctr integrat biodivers res idiv","germany",NA,"04103"," leipzig","deutsch pl 5e"
"7",7,7,NA,NA,NA,NA,0,"Zizka, G","Zizka, Georg",7,"Senckenberg Res Inst, Dept Bot & Mol Evolut, Frankfurt, Germany.",NA,NA,NA,NA,1,"Biogeography and conservation status of the pineapple family
(Bromeliaceae)","DIVERSITY AND DISTRIBUTIONS","WOS:000498024200001","J","WILEY",NA,"senckenberg res inst","germany","frankfurt",NA,"dept bot & mol evolut","senckenberg res inst"
"8",8,8,NA,NA,NA,NA,0,"Diaz-Ferguson, EE","Diaz-Ferguson, Edgardo E.",1,"City Knowledge, Coiba Sci Stn COIBA AIP, Panama City, Panama.","city knowledge, coiba sci stn coiba aip, panama city, panama.",NA,NA,NA,2,"Life history, genetics, range expansion and new frontiers of the
lionfish (Pterois volitans, Perciformes: Pteroidae) in Latin America","REGIONAL STUDIES IN MARINE SCIENCE","WOS:000485654700028","J","ELSEVIER","2019","city knowledge","panama","panama city",NA,"coiba sci stn coiba aip",NA
"9",9,9,NA,NA,NA,NA,0,"Hunter, ME","Hunter, Margaret E.",2,"US Geol Survey, Wetland & Aquat Res Ctr, 7920 NW 71st St, Gainesville, FL 32653 USA.",NA,NA,NA," mhunter@usgs.gov",2,"Life history, genetics, range expansion and new frontiers of the
lionfish (Pterois volitans, Perciformes: Pteroidae) in Latin America","REGIONAL STUDIES IN MARINE SCIENCE","WOS:000485654700028","J","ELSEVIER","2019","us geol survey","usa","fl","32653","gainesville","7920 nw 71st st"
"10",10,10,NA,NA,NA,NA,0,"Allen, BL","Allen, Benjamin L.",3,"Univ Southern Queensland, Inst Life Sci & Environm, West St, Toowoomba, Qld 4350, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ southern queensland","australia","qld ",NA,"toowoomba","inst life sci & environm"
"11",11,11,NA,NA,NA,NA,0,"Ballard, G","Ballard, Guy",4,"Univ New England, Sch Environm & Rural Sci, Northern Ring Rd, Armidale, NSW 2351, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ new england","australia","nsw ",NA,"armidale","sch environm & rural sci"
"12",12,12,NA,NA,NA,NA,0,"Broekhuis, F","Broekhuis, Femke",5,"Univ Oxford, Dept Zool, WildCRU, Tubney House,Abington Rd, Oxford OX13 5QL, England.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ oxford","england",NA,"ox13 5ql","oxford ","dept zool"
"13",13,13,NA,NA,NA,NA,0,"Bugir, C","Bugir, Cassandra",6,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"14",14,14,NA,NA,NA,NA,0,"Callen, A","Callen, Alex",2,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"15",15,15,NA,NA,NA,NA,0,"Clarke, RH","Clarke, Rohan H.",7,"Monash Univ, Sch Biol Sci, Wellington Rd, Clayton, Vic 3168, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","monash univ","australia","vic ",NA,"clayton","sch biol sci"
"16",16,16,NA,NA,NA,NA,0,"Clulow, J","Clulow, John",8,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"17",17,17,NA,NA,NA,NA,0,"Clulow, S","Clulow, Simon",9,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,"0000-0002-5700-6345",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"18",18,18,NA,NA,NA,NA,0,"Daltry, JC","Daltry, Jennifer C.",10,"Fauna & Flora Int, David Attenborough Bldg,Pembroke St, Cambridge CB2 3QZ, England.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","fauna & flora int","england",NA,"cb2 3qz","cambridge ","david attenborough bldg"
"19",19,19,NA,NA,NA,NA,0,"Davies-Mostert, HT","Davies-Mostert, Harriet T.",11,"Univ Pretoria, Mammal Res Inst, Lynwood Rd, ZA-0028 Pretoria, South Africa.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ pretoria","south africa",NA,"0028"," pretoria","mammal res inst"
"20",20,20,NA,NA,NA,NA,0,"Fleming, PJS","Fleming, Peter J. S.",12,"Univ New England, Sch Environm & Rural Sci, Northern Ring Rd, Armidale, NSW 2351, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ new england","australia","nsw ",NA,"armidale","sch environm & rural sci"
"21",21,21,NA,NA,NA,NA,0,"Griffin, AS","Griffin, Andrea S.",13,"Univ Newcastle, Sch Psychol, Univ Dr, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch psychol"
"22",22,22,NA,NA,NA,NA,0,"Hayward, MW","Hayward, Matt W.",1,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.","univ pretoria, mammal res inst, lynwood rd, za-0028 pretoria, south africa.","F-3569-2010","0000-0002-5574-1653",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"23",23,23,NA,NA,NA,NA,0,"Howell, LG","Howell, Lachlan G.",14,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,"0000-0003-1471-1674",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"24",24,24,NA,NA,NA,NA,0,"Kerley, GIH","Kerley, Graham I. H.",15,"Nelson Mandela Univ, Ctr African Conservat Ecol, Univ Way, ZA-6019 Port Elizabeth, South Africa.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","nelson mandela univ","south africa",NA,"6019"," port elizabeth","ctr african conservat ecol"
"25",25,25,NA,NA,NA,NA,0,"Klop-Toker, K","Klop-Toker, Kava",16,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"26",26,26,NA,NA,NA,NA,0,"Legge, S","Legge, Sarah",17,"Univ Queensland, Ctr Biodivers Conservat Sci, Univ Dr, St Lucia, Qld 4072, Australia.",NA,"AAB-7229-2019","0000-0001-6968-2781",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ queensland","australia","qld ",NA,"st lucia","ctr biodivers conservat sci"
"27",27,27,NA,NA,NA,NA,0,"Major, T","Major, Tom",18,"Bangor Univ, Coll Nat Sci, Coll Rd, Gwynedd LL57 2DG, Wales.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","bangor univ","wales",NA,"ll57 2dg","gwynedd ","coll nat sci"
"28",28,28,NA,NA,NA,NA,0,"Meyer, N","Meyer, Ninon",19,"Fdn Yaguara Panama, Ciudad Saber,Calle Luis Bonilla, Panama City 084303081, Panama.",NA,NA,"0000-0002-0775-0926",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","fdn yaguara panama","panama",NA," 08430","panama city","ciudad saber"
"29",29,29,NA,NA,NA,NA,0,"Montgomery, RA","Montgomery, Robert A.",20,"Michigan State Univ, Dept Fisheries & Wildlife, 220 Trowbridge Rd, E Lansing, MI 48824 USA.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","michigan state univ","usa","mi","48824","e lansing","220 trowbridge rd"
"30",30,30,NA,NA,NA,NA,0,"Moseby, K","Moseby, Katherine",21,"Univ New South Wales, Sch Biol Earth & Environm Sci, ANZAC Parade, Sydney, NSW 2052, Australia.",NA,NA,"0000-0003-0691-1625",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ new south wales","australia","nsw ",NA,"sydney","sch biol earth & environm sci"
"31",31,31,NA,NA,NA,NA,0,"Parker, DM","Parker, Daniel M.",22,"Rhodes Univ, Dept Zool & Entomol, Wildlife & Reserve Management Res Grp, Drosty Rd, ZA-6139 Grahamstown, South Africa.",NA,NA,"0000-0001-7555-5674",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","rhodes univ","south africa",NA,"6139"," grahamstown","dept zool & entomol"
"32",32,32,NA,NA,NA,NA,0,"Periquet, S","Periquet, Stephanie",23,"Ongava Res Ctr, POB 640, Outjo 21005, Namibia.",NA,"J-9979-2019","0000-0001-8901-3729",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","ongava res ctr","namibia",NA," 21005","outjo","pob 640"
"33",33,33,NA,NA,NA,NA,0,"Read, J","Read, John",24,"Univ Adelaide, Dept Earth & Environm Sci, Kintore Ave, Adelaide, SA 5005, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ adelaide","australia","sa ",NA,"adelaide","dept earth & environm sci"
"34",34,34,NA,NA,NA,NA,0,"Scanlon, RJ","Scanlon, Robert J.",25,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"35",35,35,NA,NA,NA,NA,0,"Seeto, R","Seeto, Rebecca",26,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"36",36,36,NA,NA,NA,NA,0,"Shuttleworth, C","Shuttleworth, Craig",27,"Bangor Univ, Coll Nat Sci, Coll Rd, Gwynedd LL57 2DG, Wales.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","bangor univ","wales",NA,"ll57 2dg","gwynedd ","coll nat sci"
"37",37,37,NA,NA,NA,NA,0,"Somers, MJ","Somers, Michael J.",28,"Univ Pretoria, Mammal Res Inst, Lynwood Rd, ZA-0028 Pretoria, South Africa.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ pretoria","south africa",NA,"0028"," pretoria","mammal res inst"
"38",38,38,NA,NA,NA,NA,0,"Tamessar, CT","Tamessar, Cottrell T.",29,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"39",39,39,NA,NA,NA,NA,0,"Tuft, K","Tuft, Katherine",30,"Arid Recovery, Roxby Downs, SA 5725, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","arid recovery","australia","sa ",NA,"roxby downs",NA
"40",40,40,NA,NA,NA,NA,0,"Upton, R","Upton, Rose",31,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"41",41,41,NA,NA,NA,NA,0,"Valenzuela-Molina, M","Valenzuela-Molina, Marcia",32,"Inst Politecn Nacl, Ctr Interdisciplinario Ciencias Marinas, Av Inst Politecn Nacl S-N, La Paz 23096, Bcs, Mexico.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","inst politecn nacl","mexico","bcs"," 23096","la paz","inst politecn nacl"
"42",42,42,NA,NA,NA,NA,0,"Wayne, A","Wayne, Adrian",33,"Dept Biodivers Conservat & Attract, Brain St, Manjimup, WA 6258, Australia.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","dept biodivers conservat & attract","australia","wa ",NA,"manjimup","brain st"
"43",43,43,NA,NA,NA,NA,0,"Witt, RR","Witt, Ryan R.",34,"Univ Newcastle, Sch Environm & Life Sci, Callaghan, NSW 2308, Australia.",NA,"AAB-8070-2019","0000-0003-3696-6395",NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","univ newcastle","australia","nsw ",NA,"callaghan","sch environm & life sci"
"44",44,44,NA,NA,NA,NA,0,"Wuster, W","Wuster, Wolfgang",35,"Bangor Univ, Coll Nat Sci, Coll Rd, Gwynedd LL57 2DG, Wales.",NA,NA,NA,NA,3,"Deconstructing compassionate conservation","CONSERVATION BIOLOGY","WOS:000474668700003","J","WILEY","2019","bangor univ","wales",NA,"ll57 2dg","gwynedd ","coll nat sci"
"45",45,45,NA,NA,NA,NA,0,"Chakraborty, S","Chakraborty, Shamik",3,"Hosei Univ, Fac Sustainabil Studies, Tokyo, Japan.",NA,NA,"0000-0002-8281-8089",NA,4,"Multiple values and knowledge integration in indigenous coastal and
marine social-ecological systems research: A systematic review","ECOSYSTEM SERVICES","WOS:000469015100001","J","ELSEVIER SCIENCE BV","2019","hosei univ","japan","tokyo",NA,"fac sustainabil studies",NA
